timestamp,symbol,strategy,signal,confidence,price,sentiment_score
2025-06-22T19:14:11.334469,MSFT,VWAP Slingshot,long,0.7,477.8,
2025-06-22T19:14:11.337760,MSFT,Pullback Resumption,long,0.72,477.8,
2025-06-22T19:21:06.640913,MSFT,VWAP Slingshot,long,0.7,477.8,
2025-06-22T19:21:06.643322,MSFT,Pullback Resumption,long,0.72,477.8,
2025-06-22T19:24:01.724519,MSFT,VWAP Slingshot,long,0.7,477.8,
2025-06-22T19:24:01.727109,MSFT,Pullback Resumption,long,0.72,477.8,
2025-06-22T19:30:21.418151,MSFT,VWAP Slingshot,long,0.7,477.8,
2025-06-22T19:30:21.422608,MSFT,Pullback Resumption,long,0.72,477.8,
2025-06-22T19:32:10.639762,MSFT,VWAP Slingshot,long,0.7,477.8,
2025-06-22T19:32:10.642024,MSFT,Pullback Resumption,long,0.72,477.8,
2025-06-22T19:32:10.666296,TSLA,VWAP Slingshot,long,0.7,322.17,
2025-06-22T19:36:36.494951,MSFT,VWAP Slingshot,long,0.7,477.8,
2025-06-22T19:36:36.497576,MSFT,Pullback Resumption,long,0.72,477.8,
2025-06-22T19:36:36.528251,TSLA,VWAP Slingshot,long,0.7,322.17,
2025-06-22T19:38:32.314337,MSFT,VWAP Slingshot,long,0.7,477.8,
2025-06-22T19:38:32.316928,MSFT,Pullback Resumption,long,0.72,477.8,
2025-06-22T19:38:32.339609,TSLA,VWAP Slingshot,long,0.7,322.17,
2025-06-22T19:40:33.374643,MSFT,VWAP Slingshot,long,0.7,477.8,
2025-06-22T19:40:33.376956,MSFT,Pullback Resumption,long,0.72,477.8,
2025-06-22T19:40:33.407547,TSLA,VWAP Slingshot,long,0.7,322.17,
2025-06-22T19:56:32.329055,MSFT,VWAP Slingshot,long,0.7,477.8,
2025-06-22T19:56:32.333476,MSFT,Pullback Resumption,long,0.72,477.8,
2025-06-22T19:56:32.356377,TSLA,VWAP Slingshot,long,0.7,322.17,
2025-06-22T20:00:03.413720,MSFT,VWAP Slingshot,long,0.7,477.8,
2025-06-22T20:00:03.416758,MSFT,Pullback Resumption,long,0.72,477.8,
2025-06-22T20:00:03.457188,TSLA,VWAP Slingshot,long,0.7,322.17,
